Accession,Description,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundance: F13: Sample,Abundance: F14: Sample,Abundance: F15: Sample,Abundance: F18: Sample,Abundance: F19: Sample,Abundance: F20: Sample,Abundance: F21: Sample,Abundance: F22: Sample,Abundance: F23: Sample,Abundance: F26: Sample,Abundance: F27: Sample,Abundance: F28: Sample,Abundance: F29: Sample,Abundance: F30: Sample,Abundance: F31: Sample,Abundance: F34: Sample,Abundance: F35: Sample,Abundance: F36: Sample,Abundance: F37: Sample,Abundance: F38: Sample,Abundance: F39: Sample,Abundance: F42: Sample,Abundance: F43: Sample,Abundance: F44: Sample,Abundance: F45: Sample,Abundance: F46: Sample,Abundance: F47: Sample,Abundance: F50: Sample,Abundance: F51: Sample,Abundance: F52: Sample,Abundance: F53: Sample,Abundance: F54: Sample,Abundance: F55: Sample,Abundance: F58: Sample,Abundance: F59: Sample,Abundance: F60: Sample,Abundance: F61: Sample,Abundance: F62: Sample,Abundance: F63: Sample,Abundance: F66: Sample,Abundance: F67: Sample,Abundance: F68: Sample,Abundance: F69: Sample,Abundance: F70: Sample,Abundance: F71: Sample,Abundance: F74: Sample,Abundance: F75: Sample,Abundance: F76: Sample,Abundance: F77: Sample,Abundance: F78: Sample,Abundance: F79: Sample,Abundance: F82: Sample,Abundance: F83: Sample,Abundance: F84: Sample,Abundance: F85: Sample,Abundance: F86: Sample,Abundance: F87: Sample,Abundance: F90: Sample,Abundance: F91: Sample,Abundance: F92: Sample,Abundance: F93: Sample,Abundance: F94: Sample,Abundance: F96: Sample
Q15102,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1,16782.71118,27406.75586,24055.13184,10187.32336,26441.84448,16603.02924,19321.40356,53500.18896,23060.97998,43353.79846,49568.23291,47131.57471,27806.4209,33022.63745,13940.83618,89267.35059,28490.07495,56526.69092,21037.60938,30372.56519,18545.43921,57575.8999,45285.8125,33979.15845,39985.16406,35041.81714,36728.08862,70592.80176,30737.78979,23722.47925,60124.4729,30693.84839,6673.581421,3653.436951,50795.08301,20611.7124,27704.12305,29127.7489,28634.1604,32038.24817,28542.99756,45530.86841,24586.1748,27672.67773,30118.81689,18985.87183,26913.10706,56581.14258,36875.84106,33993.97925,16805.71008,45851.11243,84478.65137,42267.53979,44319.64221,36026.37573,30646.82349,14466.90179,31693.01294,26004.33423,38062.26099,30101.99878,25991.74609,25694.58154,25346.25537,53284.15186,12336.16321,18670.68262,22135.22949,11118.14325,12445.44836,31474.61816
P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2,17487.80933,13107.30255,17463.67969,11634.8941,19094.02588,14853.61414,10869.14514,26919.52283,12785.05316,4108.673462,11821.5733,18221.30701,17579.32788,20829.62366,5454.197449,30044.21094,29612.93848,22435.8479,10561.63098,23101.00708,16675.30859,28043.35303,16420.68579,25804.00574,28655.68457,22933.94336,18383.45898,17363.98706,16430.5896,33616.31067,22155.88,14206.10138,4693.383759,670.8600464,16500.45984,15137.71155,20225.74487,18964.24365,16388.79144,13453.27002,25413.16321,17749.57849,10758.13684,28118.49927,17901.43042,15096.32324,17483.6394,31084.7605,10694.48242,35452.12781,14196.3324,24506.99585,38051.71118,21737.69092,12032.39661,29386.5459,21121.00269,18615.6933,18355.50085,16398.52588,14453.19226,18081.81384,14030.9657,13962.42151,17813.84448,15774.69177,8646.352051,9422.290039,8902.724609,11479.99274,7543.395874,25533.09326
Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,21362.93359,24166.47205,24685.02551,16498.56287,17906.99976,25023.55615,20321.0719,39590.01074,10157.60107,6560.706421,9260.614502,17002.22998,56688.63037,34863.1532,6361.918579,31023.63208,51411.97791,12235.02966,22535.35052,13719.53003,18134.69629,26189.06177,26081.26172,27700.83813,36712.5061,50998.99341,19837.36035,15166.97754,9082.424805,18331.06171,12611.56384,5437.315765,5566.460388,1873.566376,21663.29199,14771.84656,15543.52161,25923.25183,18394.92407,17428.47272,36545.84546,27588.88232,24740.65283,24085.15881,20144.52759,12960.65021,18545.01904,44318.16309,31193.67822,22331.67834,12955.07245,25611.2533,75504.26855,32253.86963,12586.67401,12015.20593,38517.33203,11060.67456,19954.78845,13392.82275,18275.72021,35261.63428,15249.69238,31252.01575,33632.50647,41351.47974,12035.23212,5532.964233,17125.86237,24219.89709,17793.21722,29306.35596
Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,13056.30505,11793.95251,10235.74768,8432.2995,9676.476563,11531.65576,10066.18335,20806.45752,11831.22925,3498.444885,12695.71277,20736.40173,29962.76929,15812.86633,7293.556702,34930.82568,33836.39282,5430.634766,11088.40466,16034.26025,11841.05859,15321.2583,10589.27808,8956.688965,27047.39148,24464.2207,22979.3335,10834.66223,11666.11572,15031.34692,13263.15613,11400.97473,1598.76886,1321.42511,12276.54553,9608.548096,17438.53601,6033.390991,5343.499695,12444.40674,13544.87439,17736.80554,13595.21448,13948.81836,9146.305695,7916.587952,9256.453735,23474.59644,13974.85028,17329.94702,10463.86096,14671.85693,22168.22717,11934.16235,6143.691101,6597.368286,9630.463379,6992.781494,9548.930908,6906.601746,9782.094116,10816.1416,6779.958984,9815.299561,15220.61011,20041.33807,6018.348633,3785.913025,9045.317017,5281.406311,5954.161133,13353.83051
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,14664.72363,26329.04248,24402.14655,24359.354,32813.20667,34594.40405,26166.76727,52108.78223,15476.25662,16445.0303,37127.80066,34446.64142,15009.11923,43561.68311,18320.10361,67567.50684,52995.15991,39051.85742,20467.26672,34826.07941,29017.8512,43371.96698,45370.28973,39103.06268,52944.08282,36701.47766,38657.88086,71417.10352,39466.06348,47695.66211,49359.96448,49236.07599,5219.509827,2822.363037,39929.49161,21140.52527,41200.42029,45056.49792,53250.42792,46011.29651,29889.29028,27323.54343,27384.1506,35218.22284,45724.97528,36571.92462,28986.0708,56844.98462,20245.06366,34050.26718,25445.28711,67532.88464,48412.68701,52925.22943,32271.47546,39093.84802,34237.84918,36411.93793,30176.75122,36456.11322,42891.35657,26657.12152,26906.00787,40425.25,29136.59534,34509.60889,20113.20743,25294.59967,17137.5119,22725.26767,24144.88782,48712.93524
P54819,"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",28008.75531,28385.33093,53359.35815,36913.17358,40826.30347,41632.104,38859.79956,48540.59155,47741.42834,40403.38654,61188.82788,42717.24231,60013.18774,62449.49756,25466.21704,54502.08838,76135.22607,53952.14136,35842.81738,35786.36011,60917.08765,59137.99121,51902.82935,41889.50391,57079.61328,65521.9895,54638.50488,36252.25989,35417.98804,49269.85632,84619.1814,56476.1792,15337.75336,6257.957153,41997.88232,29355.54236,41007.45557,42873.12354,52548.87451,52568.4248,55829.71094,77751.54175,39701.06372,54404.50586,83144.74902,34495.9043,55018.67273,68189.99121,39501.23145,58983.90234,31451.6731,79227.82129,89727.72144,81497.40106,41838.19763,57750.49084,72648.25952,42862.68506,44492.66284,36063.84863,47549.59595,74162.79968,45186.56989,37713.28912,58143.17773,116099.2953,39211.8324,27098.64212,34097.57001,33222.54028,29506.35669,81043.6499
P61088,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1,46686.31238,64754.15552,65322.56458,39036.19824,59854.54443,57738.7561,45655.28296,94461.14478,44325.65161,47310.36292,38801.73608,66915.18536,36125.46594,80673.30542,38573.76892,148858.2703,107721.4756,62941.50122,38538.01355,83077.25879,69762.10986,77375.297,77056.14795,53989.35181,94488.58887,97893.66113,76027.96069,55628.19177,57425.26099,63127.62366,76343.95239,44214.28003,26389.909,13977.56378,74918.17798,48666.61157,68071.10229,60412.90088,48333.24792,64443.45142,79478.78784,84136.63477,63578.85303,62513.80542,72756.92969,51516.59094,50563.07166,93278.62769,73379.28931,78421.48169,47369.22864,79696.57983,119322.1465,96642.17181,55418.94293,75426.9693,76405.14978,51563.67578,75048.46387,48370.35254,67769.18457,59485.10596,47835.48486,73105.35376,66492.2373,116371.6187,44640.76733,38692.07043,42764.11694,42994.76099,29857.60437,90193.44556
P11766,Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4,52407.77106,66630.90234,68811.1709,46598.92712,67481.32913,60740.11584,57401.98541,86735.79437,46457.75891,48891.03412,74923.31186,77507.98584,97199.68939,81288.36237,39794.54034,154289.6453,134562.2366,81299.40448,70939.1825,97029.31046,74037.836,96697.14148,78155.7933,70988.79858,102258.4712,92871.98438,98360.79175,64921.17786,55257.63281,77273.1153,88890.15833,77909.75903,31856.67438,14466.57707,86973.96521,25747.51154,63220.50757,61569.30396,59168.19345,71601.66235,82741.86884,90305.91174,63591.91138,89380.36835,97485.23303,55069.9353,81897.72803,107107.9257,78008.41571,94032.65747,53014.1813,100741.1866,110637.1858,100328.9017,52648.43707,90937.09839,75615.84155,67214.78003,69506.99304,67555.40759,67570.35071,56203.26373,58378.70801,84839.94962,65938.84058,130974.8949,59742.84808,44879.84863,37749.31512,48295.54291,40820.49756,86341.62073
Q9Y2X3,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,15306.44556,15581.43079,19919.56976,10728.72021,12888.12463,15051.5072,13789.07935,12271.62402,19935.08545,9497.823242,27017.9104,24373.37109,32778.33411,18382.67944,9489.913086,40202.92822,27245.16235,16447.67285,15031.21393,23965.2782,25130.38965,23356.91876,20678.60327,20221.10187,23838.46362,28622.73254,27772.59265,17780.83466,19444.53342,24410.08728,30403.02661,24870.95166,4060.307129,3134.760864,27667.36475,13068.48145,17178.91675,19728.29077,18638.29956,26701.22314,25475.10211,27283.51825,21253.34326,23212.86694,20761.56714,13627.1709,24809.10107,24482.65942,23594.33301,24008.97095,7959.5672,38833.17383,25957.15283,22368.92773,12970.8064,24490.58057,15685.73859,14198.17841,17893.396,18533.16718,14715.56494,14427.55518,14210.20068,21920.62634,14382.4082,39377.19324,20434.59131,12227.18637,18367.44458,8953.53418,6084.573486,31263.25977
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,14696.43604,11605.98303,11626.0813,13567.96509,17464.36774,12075.66504,9531.595093,20529.29016,7122.549622,3124.182373,15466.10754,22577.1748,24204.54492,20287.18933,5792.836426,22908.35864,34208.60303,15180.31659,14594.49976,19697.50513,19853.89673,17668.61304,25310.89172,10535.35583,29520.91602,26065.17883,24300.94702,24139.64557,6950.525208,22405.26331,16291.02164,10806.35767,3021.158325,,14989.23581,13549.95605,18555.04407,25096.08215,25369.96179,19596.87109,29140.11218,8908.662842,13712.78198,18917.99585,22754.3725,11067.79309,20163.3208,27488.40869,15869.3999,17541.53003,17746.20154,23091.30798,32055.16174,31895.36084,10497.50735,28512.36255,24145.55103,15590.98605,24382.41467,16067.03662,13757.53204,14556.32288,22202.64722,25280.82813,23166.97742,22626.5061,8494.385864,11583.57135,7230.193359,11999.45374,3845.381348,14471.07037
P50454,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,5689.042664,3553.031494,1142.289337,2207.168396,8237.848145,653.7698364,2874.578552,9101.694946,2461.398193,3770.930054,415.9612122,7845.428589,1311.177124,12447.2345,1730.880341,1633.519531,19124.62386,1166.632813,3223.995911,3992.383301,259.3150635,9338.850342,4546.195068,5200.221161,18787.79785,3565.833618,4347.916199,10244.49384,657.927124,6393.838318,2725.27533,631.4129028,,,718.2786865,2546.214844,3408.410522,895.6928406,4299.844452,,44391.56152,,8662.927673,18223.06989,3466.940308,8825.089142,7760.836029,16473.23505,6848.502625,4055.727417,7109.087952,8368.575958,20318.94153,9632.279022,3532.892426,2701.057129,22936.49603,4969.391113,25327.71576,947.9325562,3596.758789,20249.21179,,36972.83069,1076.161469,6089.34671,3801.335083,,352.1913757,977.0089722,2088.560425,
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3",15474.28931,13164.93579,20733.88184,9809.196411,19340.65527,19373.11694,14133.11646,25007.8728,13555.70264,6615.743408,22389.61401,17039.99841,19475.84558,27351.46411,8762.942932,40289.85938,32754.29352,16172.91772,12999.48767,26728.48413,21764.17993,23038.39392,23851.90527,18939.74457,24578.74646,28744.91089,27135.52905,23944.66724,14716.83752,19896.78406,19706.21216,21550.31738,5879.397034,3117.313934,22540.42212,15402.56311,22459.34961,15915.2583,19434.70691,13499.04333,21548.56323,24112.28308,22291.58167,21764.67493,25179.9032,14842.28748,17508.93494,39168.05774,12972.8606,29592.13525,17742.97913,27074.54944,48466.58594,22236.17188,13636.71777,20807.13733,18853.97668,18874.24292,24071.90747,24463.31543,15999.91675,21252.82373,14148.82532,15925.26599,18166.04016,34317.98462,16067.97864,6555.172119,10335.34583,8617.182739,4608.131592,20497.93323
P31150,Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2,,,,,,2663.576935,,3300.596924,,485.2281494,1921.05603,383.7741394,,,,2206.202881,3375.252686,2754.846436,1980.305969,,2952.227051,,,543.8554077,3626.657227,,3072.405762,2822.100403,1486.682495,2823.849854,2863.100586,355.0919495,,,2170.735352,,2797.740173,,,1332.504639,,2261.916992,2856.069824,,,2094.325439,,3512.356934,3188.759521,1046.855835,2257.962646,590.5267334,,4038.180664,461.3096313,,2783.039795,,2450.457031,2426.140381,,494.8911133,,,,,,2307.171631,502.3404236,1593.19873,4022.24585,
Q04760,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4,29533.52368,49873.13422,37584.52185,32424.5379,43150.15149,61015.19336,31978.67725,71206.55542,24808.59064,21254.5199,48921.04663,47298.34009,35696.43799,88744.69751,25400.92981,114842.4358,102594.5503,52032.44592,38714.17371,74035.93921,34459.62354,68002.34937,61250.69556,26741.42609,64448.71777,71944.26807,64600.47705,71661.03516,42562.0614,51063.79468,59615.66736,49787.82275,9096.272461,8347.186157,46984.99512,35934.28174,46870.12012,41891.95477,30719.49835,56196.79883,67983.39038,48773.43884,56103.91235,73048.25439,50740.93701,45678.88184,40194.3371,54447.12976,46291.02884,69287.70483,37677.68567,52624.37817,77744.70313,57384.65491,55375.63037,65634.92725,42934.22607,33345.93262,64623.99536,56151.40747,57750.32422,50417.24139,43445.05347,33035.85583,45595.51205,88179.69727,35126.91479,35836.55469,25276.22498,24759.36218,17871.26581,61539.92676
O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",14172.24158,29185.49561,38361.26392,22186.08966,12730.15442,24192.73315,27275.96619,34175.33142,22745.23254,27095.55524,15523.00098,48670.16968,62882.83911,43258.19348,13617.69794,77258.32886,60935.76294,38704.21021,27376.17163,35779.22205,37015.0835,50736.63293,36349.2738,35563.08533,59795.13464,54449.18396,47285.02539,40650.69409,17126.58704,47092.39551,66728.56104,43813.32275,11566.12958,9651.996765,56983.29834,30329.13342,41256.00623,35771.09973,47097.50647,37918.55347,51515.92456,50349.32397,22424.99841,43602.78467,30607.50073,43224.18311,46959.47168,72074.521,29027.7002,46449.9801,16459.01099,49130.88232,55782.62134,58288.6394,37721.81836,66047.98242,36255.71716,38061.8512,51684.27673,38984.91296,38094.26526,38726.15564,28165.18079,46316.6012,33587.95923,95220.83447,28031.02325,26003.66992,19518.39221,22885.47229,20683.92419,45877.50415
P20042,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,27001.95068,25611.43814,40724.02551,17911.71384,30220.19397,30211.68967,24381.07703,47493.37189,29496.31073,23038.98718,34782.21375,42587.10864,58425.96484,38171.63574,17553.77597,44195.61499,49902.6355,29320.67969,32421.11304,40228.42505,31566.14624,44166.72607,33020.4978,34237.01099,53551.30554,44778.45837,47186.79028,29235.1767,24450.29675,41999.69531,59792.52051,41404.40881,9843.017761,5082.836578,38120.78711,20642.68591,32848.65955,36442.53436,26703.24518,31648.67563,41765.32764,45212.53918,29572.23535,38393.76245,35782.76752,31023.06738,34718.25781,48969.39844,38512.42358,51223.3949,19927.71185,49650.00244,57281.23901,42201.56165,21802.40796,63144.48132,41196.27771,20667.16711,37589.41815,26007.84277,28026.84082,33253.91309,21872.01538,28618.81738,33035.18298,65867.09473,31360.55701,23352.06525,17165.62524,19440.01004,22360.3573,38541.74646
P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,17064.64343,17556.2821,18636.42859,11353.21411,15615.49463,21575.15259,16311.74414,25341.84277,13824.43311,5923.487549,20831.16113,23527.93774,36105.42725,25229.50098,9865.098511,42308.92383,30842.91626,17585.07422,12323.41113,22117.69092,21572.01855,25650.56494,23980.01563,24332.07104,25506.92554,25257.09717,27543.25903,22999.72144,17787.88477,20525.07751,33221.79346,20194.67773,6337.58075,2819.404694,21025.25171,13411.89075,20935.18262,17105.95435,14183.35449,25619.14478,23426.16882,24727.7395,22113.0105,21250.95239,26462.43945,19189.95105,20801.82861,31045.96021,10406.16443,25885.5481,14932.69751,32867.61157,35690.11182,28430.17725,12890.84827,23576.05627,23772.12842,23762.64783,29253.1665,16272.04199,19847.53589,22606.16089,17813.16492,18536.79321,19344.4939,29894.46362,11971.01746,9997.524475,10008.57867,14920.61926,8798.114746,26281.39941
P56537,Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,16300.30054,14719.71143,18452.23145,12756.83344,20036.03552,20058.05042,13217.01929,29020.93811,20933.46863,17525.6228,30325.96069,30828.49615,32199.51794,25738.86963,14930.8446,37819.15442,49741.26465,30036.84302,18238.95947,33211.87427,16495.32324,32774.15723,27171.11536,22064.75366,30232.35742,33339.12915,29476.44824,24871.25073,21959.10559,34433.89624,32881.09985,27766.28711,8030.181335,4923.662323,28885.9436,22193.08301,24474.56323,25859.755,25146.99487,29246.56665,28473.48035,30841.5105,20242.005,24699.87598,26863.48975,16265.15967,19315.78052,37691.84424,27627.61572,36740.96021,16920.4751,33719.31641,35609.39331,31572.71118,17292.19434,27904.4021,24092.61841,12400.20886,28081.61963,24153.97974,28002.80273,23393.58508,20097.61865,23096.5293,22285.62061,45226.62451,15622.08569,18292.73218,14447.04413,12391.55554,13887.02954,28171.83496
P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,32874.0304,32984.19299,36885.69653,25489.44229,45374.11133,92589.28149,30213.77356,46602.01025,39926.15674,28482.8396,37718.42896,50789.59863,53992.26929,46985.15137,24267.73682,84802.5061,56268.88867,41164.71899,19364.62061,36282.67834,48734.75977,53223.19043,45979.08301,105474.6519,46942.00073,51814.92969,41893.90295,44602.5719,34147.36328,43354.31543,68910.57642,42711.13293,13601.00421,6797.687805,54079.08618,81546.55542,45437.30518,37763.07202,42457.42529,40231.91089,56809.54498,50191.79224,39901.76782,35310.12646,53605.4314,37473.05225,50194.71716,190956.5823,40973.46384,50214.98303,29923.82507,52848.80493,72943.06372,56445.48438,35994.78906,40722.76636,122661.8901,31071.49475,38938.81885,35998.79797,40744.78345,47966.06238,32689.14343,48196.91797,38531.66736,77674.58691,31325.76477,30381.57874,34984.29724,27159.86243,23512.68579,62030.8457
P11908,Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,8065.567627,8236.197754,9792.597168,6522.935425,4010.818115,10232.65796,4503.906738,18007.2085,6356.487915,,7743.211792,6836.65625,10412.56396,11266.948,2997.875,17659.31836,13740.7832,6075.526611,4264.83667,12235.86084,7386.607666,8101.086914,7830.213135,8062.54126,10948.84058,11320.052,6747.615234,15454.68604,3923.920898,3669.18042,12154.91382,7967.967285,2139.920654,611.3031006,9412.537354,9196.853882,15123.57446,5699.945435,3492.112061,8136.451904,14088.1106,11091.53687,8755.379883,7371.603027,17072.479,24706.40381,5143.379028,2945.84375,5778.544678,13751.69629,7454.40271,9009.860596,18545.41772,15177.69482,3376.197998,11627.18311,17286.76807,13037.3479,15424.76147,4543.486328,12970.625,14981.87036,8374.375977,10492.36768,6440.516968,10639.56421,7080.863037,3269.646973,4730.109863,,2284.809326,7604.907227
P00352,Retinal dehydrogenase 1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2,,,3138.812256,8865.669434,3410.980225,10158.87416,1384.948059,14574.6922,1582.988647,,1355.405884,,,10790.28076,,8957.667969,2685.625488,15989.49268,,320.1898804,3764.842651,7464.99585,19571.24023,4417.739014,3391.033081,1978.52063,3267.027283,8640.743896,,7925.112305,3531.710571,,,,4425.221741,7747.075439,10886.98877,12257.11292,13245.52246,,8927.699463,,1981.605774,6125.705566,12422.88757,8704.264648,8300.583984,8281.51001,3503.025635,3919.834717,11255.38574,3963.704651,20558.19629,,1934.789185,5983.702637,2317.671036,,2757.617981,4173.152344,3748.310791,4460.536987,5074.383484,805.6895142,7833.210083,4316.153931,,278.8686523,1788.04071,530.7023926,1796.161743,3305.048737
Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",2153.330872,2189.739929,2179.747314,2353.668701,2606.847656,51849.81641,453.9976196,312.4323425,574.0178833,780.7747803,3072.388031,859.6447144,4628.754822,,263.6166687,3765.421265,,1720.800537,3017.794586,,,2958.881622,879.2102051,,436.6652527,3432.608154,400.3586121,2165.928223,861.2885132,1371.564697,,2578.24527,,,3506.034393,1620.210571,,,2199.66568,2212.791992,1972.465088,,,2325.269531,2528.296387,376.3078308,,1054.608459,348.9073486,627.28125,,2898.659576,560.8474731,,444.9009705,2759.217529,,,352.6512146,222.3285675,2237.809326,267.016571,1543.965637,,1106.254303,1246.888062,1380.412109,1498.827393,2643.161804,303.8858032,3344.976379,2106.530762
P84103,Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,37425.20313,32934.4483,55260.09753,29117.39063,47280.88867,76845.04053,36531.78125,397700.6807,35487.5222,45826.47363,67972.69217,56283.91991,77227.08194,48953.27832,23389.746,91031.5741,58556.22949,33687.98486,50203.43945,55666.53076,54050.09659,53491.87924,54208.81079,49854.31491,59096.37718,52512.33447,63035.69141,37595.55273,40739.18799,28857.58875,63462.77167,61308.46204,16955.1084,8598.480225,62417.52783,12806.2002,39255.49327,48577.72632,35060.18335,58976.82666,48049.58203,76426.60516,42187.62091,48198.875,51275.94205,34259.35541,31932.95145,68975.10333,52993.78516,37631.79688,31281.97266,91375.01062,76730.71976,66598.73975,39554.72559,83746.73126,65390.85742,38381.67273,43805.1911,45119.62793,41123.3335,45559.42969,44794.0033,48489.31152,38088.49219,96974.64282,25917.48438,35175.96582,44163.58984,32399.17444,31004.23828,61774.3833
P34897,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",24387.78275,36200.05392,42261.32593,30695.45425,34000.80151,29073.40448,28350.73462,45172.9845,35859.87526,48518.91013,56267.60335,74804.93469,81986.83102,24436.20309,22253.25732,126966.2087,81123.72314,35241.24719,18450.1676,25777.69812,52590.53644,50040.8598,35356.94214,36978.63525,53560.34961,66004.90784,56057.04282,40878.51379,31089.2995,34583.69913,43946.6084,38192.38907,18831.62427,14318.79712,65812.12598,16701.46793,33537.29263,26119.23798,22832.28101,61995.68604,72133.79956,71944.12646,32152.21988,34270.78229,30092.68808,27300.27783,47518.86719,62726.04459,39292.12866,51230.45032,25143.45703,71527.70883,78912.49332,52141.89136,32384.30139,51084.81036,46884.2988,28756.08408,48373.23608,23005.54063,43680.83472,65959.43588,29879.96802,73593.64502,54558.11157,107103.7567,26522.65144,25401.36737,29268.09198,23123.71689,19216.12759,50082.89026
P00491,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,17138.41687,20688.84222,38917.48474,15906.38379,19940.03516,20451.25403,15748.03931,20342.03833,11737.42542,18838.78125,27106.56836,38850.55969,41813.12158,22387.729,15654.20483,88401.24316,46869.18848,31327.05957,15249.45557,39249.14233,11549.22168,18604.40332,22662.63031,26987.75439,40342.27441,33329.22461,34122.85498,21518.77368,8096.226563,13632.0752,33072.80542,25505.3147,8798.757813,7094.463501,27816.12207,10055.67334,32165.55359,31624.76953,25187.89673,23481.72168,29701.10645,44271.49231,14995.87793,30703.92017,35318.79102,20545.26904,33692.42285,54003.8634,23104.68274,28447.12695,8125.581421,29105.39404,43027.26563,28777.21655,8461.585693,27506.96777,32811.83081,28380.02228,34577.26367,11531.51672,26163.16907,25683.94922,21278.36279,36937.50244,44147.27588,47924.58594,5604.78418,16477.6936,10385.59546,24907.35999,9403.986816,45314.97278
O43396,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,9128.537964,11243.90729,11299.38147,5499.477234,9072.684143,7964.842407,10401.92267,14915.7312,9539.387329,7665.005524,12432.26941,11306.74115,17316.60773,14820.44055,7911.349213,32731.20215,24948.66193,15170.10352,12472.94751,17370.44299,19869.80823,12956.7594,15351.94653,10596.66174,23079.6991,18383.3161,23501.92969,12517.72522,15461.45898,14065.73193,12748.94128,13819.54163,5422.819946,2186.865082,12915.53833,9235.766602,10486.44531,10553.65771,10381.44861,14072.42798,13570.78522,13735.65173,9017.030518,10481.16577,8697.301514,10422.38416,10583.20679,13649.28833,14925.52185,15386.96423,4321.81897,26954.09827,16355.47473,18895.48303,8528.989624,16979.77063,12183.38892,12089.20044,15989.17505,14090.59436,9437.681641,10701.45764,8976.804199,16418.49622,13093.29468,26231.31201,9077.140442,11710.17114,10411.80249,5318.872559,9520.925659,18391.53345
P53999,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,39374.42114,52481.45337,63400.45251,42978.82629,49834.40356,64777.99658,54313.44177,74703.89917,48678.87817,51506.30737,85069.04028,73734.17651,115512.8486,70156.43237,44682.71216,141722.6626,91855.77148,58643.38501,50174.80371,80370.53418,70708.61499,72257.84912,77864.83594,61939.92798,89710.45679,90682.74219,80794.08887,58600.7207,56229.95251,68160.53931,92168.703,66159.0835,23830.31567,16198.94653,91402.83765,46944.75104,68835.12622,55525.41803,64029.91455,90594.67554,53857.52295,93444.87793,49795.41345,55932.24817,62891.85278,45751.40747,72758.21191,88155.9917,68205.73584,82683.40161,39570.38318,110748.7098,83873.42664,90897.17908,42084.19226,90646.9845,68532.40405,57417.03784,74887.52344,70620.8941,65975.47461,66997.36365,55750.56787,71645.02142,74316.63013,112460.2538,53578.08105,53211.77722,51881.87122,45662.65845,41256.46924,91525.94739
